class,采集时间,竖向加速度平均值,竖向加速度标准差
235,2021-04-29 10:10:01.000,2.197232175460536e-05,0.008628897858489516
236,2021-04-29 10:20:00.000,-8.039653041269773e-05,0.00805887300024675
237,2021-04-29 10:30:00.000,2.31429359999468e-05,0.007276510260620971
238,2021-04-29 10:40:00.000,1.1813036213486926e-05,0.009283526407027749
239,2021-04-29 10:50:00.000,3.2376436495065773e-06,0.010760469403030192
240,2021-04-29 11:00:00.000,3.1403654369947034e-06,0.009378096392663942
241,2021-04-29 11:10:00.000,-3.3700045667776966e-05,0.006951068477473439
242,2021-04-29 11:20:00.000,8.8827890359747e-06,0.00945717383790142
243,2021-04-29 11:30:00.000,-4.383176279434104e-06,0.009507721970604528
244,2021-04-29 11:40:00.000,4.2634424682817376e-06,0.009388740138232144
245,2021-04-29 11:50:00.000,-5.606054788240105e-06,0.009851021161297699
246,2021-04-29 12:00:00.000,5.81388087610024e-06,0.013574653825535615
247,2021-04-29 12:10:00.000,-1.5366656667469758e-05,0.011728149490115468
248,2021-04-29 12:20:00.000,2.578993058233718e-05,0.008167053858058068
249,2021-04-29 12:30:00.000,5.418360829800645e-05,0.015756037096135725
250,2021-04-29 12:40:00.000,9.595912014024203e-06,0.012662041754308165
251,2021-04-29 12:50:00.000,2.1939886120486213e-05,0.010437603570435812
252,2021-04-29 13:00:00.000,1.908535216380437e-05,0.011941096093209461
253,2021-04-29 13:10:00.000,-1.5981886125124344e-06,0.009520767372187487
254,2021-04-29 13:20:00.000,-2.0166996541440353e-06,0.009640184527323986
255,2021-04-29 13:30:00.000,4.6947355586118055e-05,0.014439204601886505
256,2021-04-29 13:40:00.000,-4.214265347369799e-05,0.016126605027261334
257,2021-04-29 13:50:00.000,-6.000620809968529e-05,0.00913640100272082
258,2021-04-29 14:00:00.000,1.1114942412927353e-05,0.013112255265307907
259,2021-04-29 14:10:00.000,-3.697707146133404e-05,0.011616903791246547
260,2021-04-29 14:20:00.000,-1.917689356195641e-05,0.009277440347913545
261,2021-04-29 14:30:00.000,-3.32416285996282e-05,0.01362298033978734
262,2021-04-29 14:40:00.000,5.9709762941219946e-05,0.010953832753976439
263,2021-04-29 14:50:01.000,-2.145871213013269e-06,0.01173507336771336
264,2021-04-29 15:00:00.000,0.0001162067882895074,0.011369815300434774
265,2021-04-29 15:10:00.000,3.259705617057396e-05,0.012547029131655932
266,2021-04-29 15:20:00.000,-1.6957117346278474e-05,0.008558765791952668
267,2021-04-29 15:30:00.000,-4.353589777938429e-05,0.011909348861830116
268,2021-04-29 15:40:01.000,-1.7817843617692046e-05,0.009674378663714159
269,2021-04-29 15:50:00.000,5.448453095393178e-05,0.0056767648787837115
270,2021-04-29 16:00:59.000,,
271,2021-04-29 16:10:59.000,,
272,2021-04-29 16:20:59.000,,
273,2021-04-29 16:30:59.000,,
274,2021-04-29 16:40:59.000,,
275,2021-04-29 16:50:59.000,,
276,2021-04-29 17:00:59.000,,
277,2021-04-29 17:10:59.000,,
278,2021-04-29 17:20:59.000,,
279,2021-04-29 17:30:59.000,,
280,2021-04-29 17:40:59.000,,
281,2021-04-29 17:50:59.000,,
282,2021-04-29 18:00:59.000,,
283,2021-04-29 18:10:59.000,,
284,2021-04-29 18:20:59.000,,
285,2021-04-29 18:30:59.000,,
286,2021-04-29 18:40:59.000,-9.416682281624116e-06,0.005254957781676976
287,2021-04-29 18:50:00.000,2.214780804049283e-06,0.005224264238851375
